region_id,Manufacturer,Model Name,quantity,Equipment Type,Age,OS,Certification Level,Scanning Rate,Error Rate,Reliability
68,Dominion,ImageCast Precinct with Integrated BMD,275,,-1,,,,,
68,Dominion,ImageCast X/ICX DRE,145,,-1,,,,,
68,Dominion,ImageCast Central/ICC,11,,-1,,,,,
68,DOMINION,Precinct 2,287,,-1,,,,,
69,ES&S,ExpressVote,49,BMD,11,,VVSG 1.0 (2005),,,
69,ES&S,DS450,1,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
69,ES&S,DS850,1,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
70,ES&S,ExpressVote,150,BMD,11,,VVSG 1.0 (2005),,,
70,ES&S,DS200,20,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
70,ES&S,DS450,1,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
70,ES&S,DS850,2,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
71,ES&S,ExpressVote,0,BMD,11,,VVSG 1.0 (2005),,,
71,ES&S,DS450,2,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
71,ES&S,DS950,1,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
72,ES&S,ExpressVote,19,BMD,11,,VVSG 1.0 (2005),,,
72,ES&S,DS850,1,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
73,ES&S,ExpressVote,11,BMD,11,,VVSG 1.0 (2005),,,
73,ES&S,DS200,8,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
73,ES&S,DS850,1,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
74,ES&S,ExpressVote,18,BMD,11,,VVSG 1.0 (2005),,,
74,ES&S,ExpressTouch,18,DRE Touchscreen,-1,,,,,
74,ES&S,ExpressVoteXL,3,,-1,,,,,
75,ES&S,ExpressVote,22,BMD,11,,VVSG 1.0 (2005),,,
75,ES&S,DS200,8,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
75,ES&S,DS450,1,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
76,DOMINION,IMAGECAST X/V5.17.17.1,224,,-1,,,,,
76,DOMINION,ICC CANNON DR-G1130/V5.17.17.1 COTS,4,,-1,,,,,
76,DOMINION,ICC INTERSCAN HIPRO 821/V5.17.17.1 COTS,8,,-1,,,,,
76,DOMINION,IMAGECAST PRINCINCT2/V5.17.17.1,507,,-1,,,,,
77,ES&S,ExpressVote,57,BMD,11,,VVSG 1.0 (2005),,,
77,ES&S,DS850,2,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
77,ES&S,DS950,1,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
78,ES&S,ExpressVote,96,BMD,11,,VVSG 1.0 (2005),,,
78,ES&S,DS450,1,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
78,ES&S,DS850,1,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
79,ES&S,ExpressVote,289,BMD,11,,VVSG 1.0 (2005),,,
79,ES&S,DS850,6,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
80,ES&S,ExpressVote,99,BMD,11,,VVSG 1.0 (2005),,,
80,ES&S,DS850,1,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
80,ES&S,DS950,4,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
81,ES&S,ExpressVote,18,BMD,11,,VVSG 1.0 (2005),,,
81,ES&S,DS300,1,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
81,ES&S,DS450,1,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
81,ES&S,DS950,1,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
82,Unisyn,OpenElect FVT,47,,-1,,,,,
82,Unisyn,OpenElect Voting Central Scan/OVCS,4,,-1,,,,,
83,ES&S,ExpressVote,82,BMD,11,,VVSG 1.0 (2005),,,
83,ES&S,DS200,12,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
83,ES&S,DS450,3,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
84,ES&S,ExpressVote,36,BMD,11,,VVSG 1.0 (2005),,,
84,ES&S,DS200,7,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
85,ES&S,ExpressVote,44,BMD,11,,VVSG 1.0 (2005),,,
85,ES&S,DS200,13,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
86,ES&S,ExpressVote,82,BMD,11,,VVSG 1.0 (2005),,,
87,ES&S,ExpressVote,479,BMD,11,,VVSG 1.0 (2005),,,
87,ES&S,DS200,55,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
88,ES&S,ExpressVote,81,BMD,11,,VVSG 1.0 (2005),,,
88,ES&S,DS200,17,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
89,ES&S,ExpressVote,19,BMD,11,,VVSG 1.0 (2005),,,
89,ES&S,ExpressVote,19,BMD,11,,VVSG 1.0 (2005),,,
89,ES&S,DS200,9,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
90,ES&S,ExpressVote,12,BMD,11,,VVSG 1.0 (2005),,,
90,ES&S,DS200,6,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
91,ES&S,ExpressVote,46,BMD,11,,VVSG 1.0 (2005),,,
91,ES&S,DS200,12,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
92,ES&S,ExpressVote,7,BMD,11,,VVSG 1.0 (2005),,,
92,ES&S,DS200,5,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
94,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
95,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
95,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
96,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
97,ES&S,ExpressVote,24,BMD,11,,VVSG 1.0 (2005),,,
97,ES&S,DS200,11,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
98,ES&S,ExpressVote,38,BMD,11,,VVSG 1.0 (2005),,,
98,ES&S,DS200,16,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
99,ES&S,ExpressVote,120,BMD,11,,VVSG 1.0 (2005),,,
99,ES&S,DS200,17,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
100,ES&S,ExpressVote,100,BMD,11,,VVSG 1.0 (2005),,,
100,ES&S,DS200,14,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
101,ES&S,ExpressVote,69,BMD,11,,VVSG 1.0 (2005),,,
101,ES&S,DS200,25,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
