state_id,Total Drop Boxes,Mail Ballots Via Drop Box,Total Voters
1,0,0,2272911
2,5,0,340981
4,544,411280,3477975
5,0,0,1122278
6,2854,6200937,16164330
8,434,317337,3240754
9,201,0,1820891
10,0,0,514367
11,55,96610,328871
12,542,745254,10999125
13,196,0,5297500
15,62,190545,522236
16,41,0,917469
17,510,156532,5717147
18,0,0,2986839
19,0,0,1674011
20,154,59925,1342102
21,186,49258,2086090
22,0,0,2021588
23,359,0,842447
24,286,363317,3028813
25,874,0,3512930
26,1711,0,5706503
27,53,0,3271069
28,0,0,1225176
29,0,0,3126837
30,0,0,612423
31,121,216022,965145
32,342,299601,1486297
33,0,0,829090
34,448,398300,4321921
35,62,6533,927923
36,0,0,8389626
37,0,0,5756106
38,63,0,371974
39,90,181688,5851625
40,0,0,1573274
41,318,1484470,2269608
42,175,0,7074875
44,459,21374,522164
45,0,0,2566404
46,0,0,435739
47,0,0,3090161
48,0,0,11488820
49,308,1018405,1466896
50,158,0,361604
51,2764,94192,4511853
53,575,2616566,3949810
54,0,0,769206
55,0,0,3434185
56,8,4968,271123
