region_id,make_model,number_deployed,equipment_type
68,ImageCast Precinct with Integrated BMD (Dominion),275,Ballot Marking Device
68,ImageCast X/ICX DRE (Dominion),145,DRE with VVPAT
68,ImageCast Central/ICC (Dominion),11,Scanner
68,ImageCast Precint2/ICP2,287,Scanner
69,ExpressVote (ES&S),49,Ballot Marking Device
69,DS450 (ES&S),1,Scanner
69,DS850 (ES&S),1,Scanner
70,ExpressVote (ES&S),150,Ballot Marking Device
70,DS200 (ES&S),20,Scanner
70,DS450 (ES&S),1,Scanner
70,DS850 (ES&S),2,Scanner
71,ExpressVote (ES&S),0,Ballot Marking Device
71,DS450 (ES&S),2,Scanner
71,DS950 (ES&S),1,Scanner
72,ExpressVote (ES&S),19,Ballot Marking Device
72,DS850 (ES&S),1,Scanner
73,ExpressVote (ES&S),11,Ballot Marking Device
73,DS200 (ES&S),8,Scanner
73,DS850 (ES&S),1,Scanner
74,ExpressVote (ES&S),18,Ballot Marking Device
74,Other: EXPRESS TOUCH ES&S,18,DRE with VVPAT
74,ExpressVoteXL (ES&S),3,Scanner
75,ExpressVote (ES&S),22,Ballot Marking Device
75,DS200 (ES&S),8,Scanner
75,DS450 (ES&S),1,Scanner
76,Other: DOMINION IMAGECAST X/V5.17.17.1,224,Ballot Marking Device
76,Other: DOMINION ICC CANNON DR-G1130/V5.17.17.1 COTS,4,Scanner
76,Other: DOMINION ICC INTERSCAN HIPRO 821/V5.17.17.1 COTS,8,Scanner
76,Other: DOMINION IMAGECAST PRINCINCT2/V5.17.17.1,507,Scanner
77,ExpressVote (ES&S),57,Ballot Marking Device
77,DS850 (ES&S),2,Scanner
77,DS950 (ES&S),1,Scanner
78,ExpressVote (ES&S),96,Ballot Marking Device
78,DS450 (ES&S),1,Scanner
78,DS850 (ES&S),1,Scanner
79,ExpressVote (ES&S),289,Ballot Marking Device
79,DS850 (ES&S),6,Scanner
80,ExpressVote (ES&S),99,Ballot Marking Device
80,DS850 (ES&S),1,Scanner
80,DS950 (ES&S),4,Scanner
81,ExpressVote (ES&S),18,Ballot Marking Device
81,DS300 (ES&S),1,Scanner
81,DS450 (ES&S),1,Scanner
81,DS950 (ES&S),1,Scanner
82,OpenElect FVT (Unisyn),47,Ballot Marking Device
82,OpenElect Voting Central Scan/OVCS (Unisyn),4,Scanner
83,ExpressVote (ES&S),82,Ballot Marking Device
83,DS200 (ES&S),12,Scanner
83,DS450 (ES&S),3,Scanner
84,ExpressVote (ES&S),36,Ballot Marking Device
84,DS200 (ES&S),7,Scanner
85,ExpressVote (ES&S),44,Ballot Marking Device
85,DS200 (ES&S),13,Scanner
86,ExpressVote (ES&S),82,Ballot Marking Device
87,ExpressVote (ES&S),479,Ballot Marking Device
87,DS200 (ES&S),55,Scanner
88,ExpressVote (ES&S),81,Ballot Marking Device
88,DS200 (ES&S),17,Scanner
89,ExpressVote (ES&S),19,Ballot Marking Device
89,Other: EXPRESS VOTE,19,DRE with VVPAT
89,DS200 (ES&S),9,Scanner
90,ExpressVote (ES&S),12,Ballot Marking Device
90,DS200 (ES&S),6,Scanner
91,ExpressVote (ES&S),46,Ballot Marking Device
91,DS200 (ES&S),12,Scanner
92,ExpressVote (ES&S),7,Ballot Marking Device
92,DS200 (ES&S),5,Scanner
94,ExpressVote (ES&S),77,Ballot Marking Device
95,ExpressVote (ES&S),77,Ballot Marking Device
95,Other: EXPRESS VOTE,77,DRE with VVPAT
96,ExpressVote (ES&S),77,Ballot Marking Device
97,ExpressVote (ES&S),24,Ballot Marking Device
97,DS200 (ES&S),11,Scanner
98,ExpressVote (ES&S),38,Ballot Marking Device
98,DS200 (ES&S),16,Scanner
99,ExpressVote (ES&S),120,Ballot Marking Device
99,DS200 (ES&S),17,Scanner
100,ExpressVote (ES&S),100,Ballot Marking Device
100,DS200 (ES&S),14,Scanner
101,ExpressVote (ES&S),69,Ballot Marking Device
101,DS200 (ES&S),25,Scanner
102,ExpressVote (ES&S),26,Ballot Marking Device
102,DS200 (ES&S),10,Scanner
103,Other: EXPRESS VOTE ESS,14,DRE with VVPAT
104,iVotronic (ES&S),77,DRE with VVPAT
105,ExpressVote (ES&S),42,Ballot Marking Device
105,ExpressVote Tabulator (ES&S),10,Scanner
106,ExpressVote (ES&S),115,Ballot Marking Device
106,DS200 (ES&S),27,Scanner
106,DS450 (ES&S),1,Scanner
107,ExpressVote (ES&S),26,Ballot Marking Device
108,ExpressVote (ES&S),26,Ballot Marking Device
108,DS200 (ES&S),17,Scanner
109,ExpressVote (ES&S),140,Ballot Marking Device
109,DS200 (ES&S),40,Scanner
110,ExpressVote (ES&S),24,Ballot Marking Device
110,DS200 (ES&S),12,Scanner
111,ExpressVote (ES&S),55,Ballot Marking Device
111,DS200 (ES&S),14,Scanner
112,ExpressVote (ES&S),29,Ballot Marking Device
113,ExpressVote (ES&S),39,Ballot Marking Device
113,DS200 (ES&S),14,Scanner
114,ExpressVote (ES&S),20,Ballot Marking Device
114,DS200 (ES&S),6,Scanner
115,ExpressVote (ES&S),77,Ballot Marking Device
116,DS200 (ES&S),9,Scanner
117,ExpressVote (ES&S),45,Ballot Marking Device
117,ExpressVote Tabulator (ES&S),45,Scanner
118,ExpressVote (ES&S),148,Ballot Marking Device
118,DS200 (ES&S),42,Scanner
119,ExpressVote (ES&S),77,Ballot Marking Device
119,DS200 (ES&S),14,Scanner
121,ExpressVote (ES&S),77,Ballot Marking Device
121,DS200 (ES&S),77,Scanner
122,DS200 (ES&S),7,Scanner
123,ExpressVote (ES&S),19,Ballot Marking Device
123,DS200 (ES&S),5,Scanner
124,ExpressVote (ES&S),22,Ballot Marking Device
124,DS200 (ES&S),7,Scanner
125,ExpressVote (ES&S),34,Ballot Marking Device
125,DS200 (ES&S),10,Scanner
126,ExpressVote (ES&S),72,Ballot Marking Device
126,DS200 (ES&S),12,Scanner
127,ExpressVote (ES&S),48,Ballot Marking Device
127,DS200 (ES&S),7,Scanner
128,ExpressVote (ES&S),29,Ballot Marking Device
128,DS200 (ES&S),9,Scanner
129,ExpressVote (ES&S),77,Ballot Marking Device
129,DS200 (ES&S),77,Scanner
130,ExpressVote (ES&S),42,Ballot Marking Device
130,DS200 (ES&S),18,Scanner
131,ExpressVote (ES&S),12,Ballot Marking Device
131,DS200 (ES&S),8,Scanner
132,iVotronic (ES&S),77,DRE with VVPAT
132,ExpressVote Tabulator (ES&S),77,Scanner
133,ExpressVote (ES&S),20,Ballot Marking Device
133,Other: ES&S EXPRESSVOTE KIOSK,20,DRE with VVPAT
133,DS200 (ES&S),10,Scanner
134,ExpressVote (ES&S),77,Ballot Marking Device
134,iVotronic (ES&S),77,DRE with VVPAT
135,ExpressVote (ES&S),77,Ballot Marking Device
136,iVotronic (ES&S),10,DRE with VVPAT
137,iVotronic (ES&S),77,DRE with VVPAT
138,ExpressVote (ES&S),20,Ballot Marking Device
138,DS200 (ES&S),6,Scanner
139,ExpressVote (ES&S),25,Ballot Marking Device
139,DS200 (ES&S),11,Scanner
140,ExpressVote (ES&S),36,Ballot Marking Device
140,DS200 (ES&S),12,Scanner
141,ExpressVote (ES&S),60,Ballot Marking Device
141,DS200 (ES&S),10,Scanner
142,ExpressVote (ES&S),24,Ballot Marking Device
142,Other: DS 200 EXPRESS VOTE,12,DRE with VVPAT
142,DS200 (ES&S),77,Scanner
143,ExpressVote (ES&S),227,Ballot Marking Device
143,DS200 (ES&S),104,Scanner
143,DS450 (ES&S),1,Scanner
144,ExpressVote (ES&S),42,Ballot Marking Device
144,DS200 (ES&S),14,Scanner
145,ExpressVote (ES&S),39,Ballot Marking Device
145,DS200 (ES&S),39,Scanner
146,ExpressVote (ES&S),135,Ballot Marking Device
146,DS200 (ES&S),24,Scanner
146,DS450 (ES&S),1,Scanner
147,ExpressVote (ES&S),17,Ballot Marking Device
147,ExpressVote (ES&S),26,Ballot Marking Device
149,ExpressVote (ES&S),77,Ballot Marking Device
150,ExpressVote (ES&S),25,Ballot Marking Device
150,DS200 (ES&S),6,Scanner
151,ExpressVote (ES&S),24,Ballot Marking Device
151,DS200 (ES&S),9,Scanner
152,ExpressVote (ES&S),31,Ballot Marking Device
152,DS200 (ES&S),12,Scanner
153,ExpressVote (ES&S),48,Ballot Marking Device
153,DS200 (ES&S),21,Scanner
154,ExpressVote (ES&S),41,Ballot Marking Device
154,Other: DS200,10,Ballot Marking Device
155,ExpressVote (ES&S),331,Ballot Marking Device
155,DS200 (ES&S),52,Scanner
156,ExpressVote (ES&S),150,Ballot Marking Device
157,ExpressVote (ES&S),21,Ballot Marking Device
157,DS200 (ES&S),9,Scanner
158,ExpressVote (ES&S),40,Ballot Marking Device
159,ExpressVote (ES&S),2,Ballot Marking Device
159,DS200 (ES&S),2,Scanner
160,ExpressVote (ES&S),10,Ballot Marking Device
160,DS300 (ES&S),3,Scanner
160,DS450 (ES&S),2,Scanner
161,ImageCast X/ICX BMD (Dominion),45,Ballot Marking Device
161,ImageCast Central/ICC (Dominion),4,Scanner
162,ImageCast X/ICX BMD (Dominion),6,Ballot Marking Device
162,ImageCast Central/ICC (Dominion),2,Scanner
163,ImageCast X/ICX BMD (Dominion),352,Ballot Marking Device
163,ImageCast Central/ICC (Dominion),10,Scanner
164,ImageCast Evolution/ICE (Dominion),20,Ballot Marking Device
164,ImageCast Central/ICC (Dominion),2,Scanner
164,ImageCast Evolution/ICE (Dominion),0,Scanner
165,ImageCast X/ICX BMD (Dominion),41,Ballot Marking Device
165,ImageCast Central/ICC (Dominion),5,Scanner
166,ImageCast X/ICX BMD (Dominion),180,Ballot Marking Device
