region_id,total_registered_voters,Moved,Death,Felony,Fail Response,Incompetent to Vote,Voter Request,Duplicate Records
1,46292,162,978,43,0,0,17,74
2,207668,4,4116,114,0,1,0,207
3,17656,58,483,2,0,0,0,68
4,15154,27,471,5,0,0,1,27
5,43590,73,1198,56,0,0,2,85
6,7181,22,225,12,0,1,0,10
7,14526,17,478,16,0,0,0,15
8,84073,213,1349,166,0,0,2,194
9,26799,50,681,102,0,1,3,65
10,21374,98,582,32,0,0,0,24
11,31677,22,905,30,0,0,0,48
12,10766,37,341,8,0,0,0,5
13,19143,43,587,6,0,0,0,15
14,10603,15,343,18,0,0,0,12
15,12193,33,329,3,0,0,4,16
16,39774,173,826,17,0,0,36,51
17,45322,72,1223,109,0,0,2,68
18,9820,48,382,29,0,0,1,118
19,8363,20,265,14,0,0,0,12
20,29306,86,850,37,0,0,5,28
21,10851,15,334,1,0,0,2,12
22,66593,156,1863,73,0,0,0,39
23,37100,88,970,50,0,1,3,49
24,29534,60,957,47,0,0,2,56
25,48073,185,1341,71,0,0,16,72
26,63576,372,1432,14,0,2,7,105
27,28277,117,698,84,0,0,1,50
28,77749,179,2363,137,0,1,5,225
29,12897,60,431,26,0,0,0,8
30,19923,47,655,25,0,0,0,33
31,20768,123,636,45,0,1,8,27
32,6572,21,217,11,0,0,1,6
33,12162,0,359,2,0,0,0,32
34,14763,103,400,6,0,0,3,17
35,82248,1137,1969,227,0,1,23,357
36,40987,174,1068,59,0,1,3,21
37,501909,962,11730,650,0,0,82,225
38,11087,31,302,13,0,1,1,13
39,70859,187,1886,70,0,3,17,44
40,25906,49,727,33,0,0,0,59
41,134158,466,1806,111,0,0,30,185
42,82645,511,1726,95,0,2,7,219
43,9668,4,285,13,0,0,0,40
44,16971,16,412,34,0,0,7,34
45,333091,2314,5792,315,0,0,102,174
46,15711,25,483,20,0,0,3,7
47,22676,20,724,19,0,0,4,69
48,67816,173,2040,145,0,0,6,197
49,322520,894,7327,551,0,84,222,327
50,16352,28,486,26,0,0,0,48
51,163673,1247,3818,323,0,0,36,159
52,88609,275,2354,174,0,5,9,97
53,7630,13,266,5,0,0,0,3
54,14037,39,435,10,0,0,2,8
55,24517,110,593,33,0,1,0,44
56,19342,57,430,37,0,0,1,31
57,46543,157,650,65,0,0,1,167
58,73065,121,1803,83,0,0,6,122
59,178361,615,2962,110,0,0,10,45
60,9633,26,231,14,0,0,2,3
61,61345,90,1752,80,0,2,57,220
62,32578,62,976,35,0,0,0,36
63,154595,472,3191,195,0,0,35,101
64,49224,28,1768,54,0,0,20,45
65,13785,25,351,20,0,1,0,31
66,8555,32,255,10,0,1,0,7
67,17826,53,536,39,0,0,0,26
68,611078,2501,10572,1888,28126,0,5830,0
69,57277,298,1325,187,1530,3,152,0
70,93667,613,2508,176,942,22,517,0
71,107747,2156,1579,272,5141,5,86,0
72,38962,256,1420,101,1039,6,100,0
73,23295,140,571,101,678,6,23,0
74,5283,27,129,30,128,0,15,0
75,14515,67,468,75,12,1,40,0
76,3063444,57297,57527,7649,105192,427,21895,0
77,173057,537,5630,596,6743,70,261,0
78,78980,578,2048,381,1912,23,40,1
79,741244,14256,15946,1771,19151,2,8819,0
80,318271,995,6323,1066,4394,72,3971,0
81,33602,42,590,91,1132,9,68,0
82,197449,10344,5982,560,6166,37,645,0
83,128544,264,2380,552,3935,4,757,0
84,9137,15,274,23,0,0,2,10
85,10336,104,303,32,887,0,9,7
86,30823,213,1249,49,2049,0,15,53
87,193492,2068,2812,78,12841,48,49,264
88,25164,219,761,65,2780,0,5,54
89,5211,41,184,4,245,0,4,7
