region_id,total_provisional_ballots_cast
1,127
2,1248
3,99
4,38
5,286
6,5
7,40
8,325
9,52
10,82
11,55
12,9
13,45
14,0
15,6
16,94
17,239
18,16
19,19
20,74
21,33
22,68
23,20
24,26
25,89
26,108
27,87
28,595
29,25
30,2
31,23
32,1
33,28
34,27
35,329
36,36
37,847
38,11
39,277
40,97
41,0
42,665
43,22
44,79
45,789
46,68
47,23
48,249
49,3011
50,0
51,706
52,345
53,17
54,15
55,47
56,8
57,36
58,864
59,0
60,14
61,159
62,53
63,350
64,154
65,46
66,29
67,18
68,15138
69,3525
70,648
71,1619
72,382
73,102
74,46
75,636
76,25925
77,2405
78,1287
79,6849
80,3664
81,376
82,1260
83,1187
84,11
85,14
86,21
87,1011
88,60
89,10
90,28
91,206
92,13
93,0
94,72
95,2
96,5
97,71
98,115
99,498
100,153
101,192
102,87
103,1
104,0
105,10
106,284
107,89
108,21
109,178
110,4
111,154
112,77
113,67
114,0
115,51
116,0
117,15
118,0
119,85
120,0
121,0
122,5
123,16
124,11
125,137
126,113
127,17
128,29
129,0
130,4
131,1
132,4
133,61
134,0
135,5
136,8
137,44
138,0
139,122
140,113
141,157
142,10
143,1251
144,35
145,7
146,54
147,25
148,0
149,226
150,3
151,7
152,70
153,36
154,28
155,693
156,146
157,17
158,25
159,0
160,13
161,4195
162,162
163,11361
164,23
165,1524
166,6794
167,248
168,1431
169,5578
170,224
171,8019
172,1098
173,1464
174,348
175,11826
176,1127
177,2388
178,189
179,2317
180,2806
181,149
182,249
183,8339
184,17
185,1180
186,38804
187,4818
188,92
189,34635
190,16305
191,5
192,21640
193,43648
194,19081
195,2411
196,5426
197,4960
198,6280
199,16274
200,4486
201,2455
202,9
203,112
204,8270
205,4861
206,4732
207,896
208,856
209,45
210,1347
211,485
212,3593
213,5238
214,1129
215,1007
216,34
217,0
218,1
219,56
220,3
221,0
222,0
223,12
224,2
225,0
226,1
227,2
228,0
229,0
230,0
231,0
232,0
233,88
234,4
235,39
236,2
237,0
238,55
239,2
240,10
241,2
242,0
243,2
244,0
245,0
246,0
247,66
248,0
249,2
250,0
251,4
252,20
253,0
254,1
255,0
256,8
257,0
258,5
259,1
260,1
261,0
262,2
263,0
264,4
265,0
266,1
267,0
268,8
269,1
270,2
271,7
272,0
273,0
274,3
275,0
276,10
277,1
278,0
279,16
280,0
281,0
282,20
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,2
308,0
309,1
310,0
311,0
312,0
313,4
314,0
315,0
316,2
317,11
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,0
331,2
332,0
333,2
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,2
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,10
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,1
394,0
395,1
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,3
406,1
407,2
408,0
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,2
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,44
451,2
452,158
453,1015
454,398
455,2
456,399
457,28
458,541
459,1035
460,13
461,371
462,402
463,72
464,398
465,71
466,16
467,3
468,1830
469,516
470,352
471,1
472,30
473,3
474,3
475,20
476,18
477,25
478,25
479,232
480,143
481,2767
482,5
483,107
484,67
485,10
486,15
487,313
488,950
489,859
490,91
491,2
492,16
493,435
494,209
495,222
496,678
497,80
498,240
499,332
500,18
501,661
502,862
503,570
504,554
505,672
506,1456
507,75
508,271
509,330
510,534
511,625
512,159
513,7
514,36
515,37
516,4
517,641
518,49
519,176
520,13
521,0
522,3
523,2
524,8
525,5
526,6
527,9
528,45
529,9
530,5
531,210
532,0
533,3
534,16
535,50
536,70
537,7
538,3
539,3
540,8
