region_id,Rejections,Total Voters
1,89,28388
2,648,122542
3,102,9919
4,30,9278
5,200,28138
6,4,4144
7,13,8530
8,299,48819
9,43,14380
10,49,13030
11,41,19824
12,8,6692
13,51,11993
14,4,6759
15,6,7860
16,73,22367
17,91,27239
18,29,6105
19,9,5276
20,42,17165
21,24,6516
22,62,43311
23,15,19207
24,24,15631
25,82,29756
26,72,41729
27,68,15009
28,502,46281
29,13,8417
30,6,12159
31,12,12444
32,0,4056
33,11,7298
34,29,9355
35,101,44554
36,22,23650
37,1715,299855
38,6,6923
39,154,43816
40,26,16173
41,144,73353
42,233,53500
43,10,5708
44,63,7876
45,229,197868
46,60,9719
47,8,13587
48,149,40499
49,1424,176019
50,30,9860
51,461,90268
52,156,53721
53,0,4477
54,3,8929
55,35,13292
56,6,11128
57,12,20794
58,75,43621
59,0,114957
60,11,5330
61,146,33329
62,28,20127
63,306,85509
64,75,29888
65,33,8489
66,30,5287
67,19,11188
68,1420,340981
69,2042,32685
70,1009,59501
71,1357,70993
72,270,27979
73,44,15327
74,96,3341
75,102,7700
76,32879,2078460
77,1038,111355
78,927,51386
79,12636,568431
80,3149,211594
81,595,19428
82,1447,150885
83,2152,68910
84,20,5577
85,15,7054
86,52,21050
87,1129,129545
88,65,17220
89,5,3225
90,22,2104
91,190,11583
92,17,3522
93,6,7696
94,74,4899
95,60,12803
96,0,3386
97,35,8017
98,182,8594
99,562,37455
100,197,23934
101,196,14797
102,82,6660
103,0,2333
104,0,0
105,7,6384
106,316,54764
107,79,6858
108,21,5075
109,149,42538
110,4,8118
111,202,15879
112,84,6141
113,112,12326
114,0,4490
115,67,14090
116,0,5964
117,26,4811
118,32,21695
119,67,9094
120,14,2346
121,8,5745
122,5,0
123,29,3387
124,10,4927
125,153,8234
126,107,30731
127,20,7546
128,2,7920
129,1,15842
130,10,10774
131,1,2446
132,5,3718
133,6,2921
134,0,2943
135,9,6181
136,15,4597
137,4,4964
138,12,4371
139,113,7116
140,119,8324
141,185,24311
142,15,3216
143,1332,155292
144,47,6655
145,14,5897
146,207,0
147,23,3376
148,0,3899
149,317,45688
150,12,4741
151,4,7474
152,47,6060
153,24,15524
154,27,7697
155,832,97917
156,182,31027
157,17,2327
158,27,6463
159,6,749
160,39,22739
161,1366,96106
162,127,7193
163,5474,539459
164,222,10647
165,2341,114003
166,3919,329272
167,127,10553
168,514,65187
169,1151,53929
170,13,9096
171,2983,286452
172,569,42016
173,444,27107
174,92,11496
175,32363,3806684
176,346,55422
177,1809,146850
178,101,9613
179,168,39837
180,1155,87432
181,111,4068
182,70,6168
183,1174,148916
184,482,66630
185,452,63240
186,19110,1417284
187,1676,239402
188,80,10186
189,13209,959098
190,4741,668416
191,622,28018
192,12982,770726
193,13548,1503018
194,3375,411691
195,4126,267627
196,1685,153424
197,2511,336922
198,2460,187876
199,6371,766370
200,670,136505
201,586,89686
202,19,1780
203,178,21803
204,959,192397
205,1735,258450
206,2708,200183
207,111,39867
208,432,26806
209,161,5755
210,1375,139780
211,211,29237
212,4131,394294
213,1532,94502
214,482,30443
215,6411,695036
216,226,26884
217,4696,236377
218,89,7674
219,4309,330977
220,106,9489
221,13,2034
222,22,2221
223,3992,198885
224,442,47545
225,57,14628
226,5,1064
227,70,6181
228,17,4196
229,21,2149
230,5,1729
231,11,3932
232,313,19744
233,6114,369373
234,50,1429
235,2690,248052
236,493,28226
237,163,20658
238,5421,387493
239,178,25831
240,380,30769
241,49,4187
242,71,10064
243,67,11126
244,2,618
245,27,4511
246,0,845
247,2914,367416
248,0,868
249,41,3739
250,41,3973
251,273,36175
252,2319,229064
253,77,7868
254,19,2597
255,140,10274
256,2039,92921
257,5,766
258,111,6731
259,460,15326
260,207,25994
261,198,13603
262,42,9035
263,34,4157
264,207,12219
265,9,2384
266,216,11349
267,20,5209
268,1143,86126
269,46,3732
270,19,6286
271,193,16632
272,39,3446
273,3,597
274,97,4870
275,12,1371
276,163,17818
277,253,16578
278,25,2838
279,2727,182066
280,35,4719
281,3,11116
282,112,38093
283,13,10771
284,71,31188
285,11,12674
286,3,4965
287,24,35380
288,53,34972
289,12,11620
290,20,12148
291,4,8366
292,27,17631
293,84,42844
294,9,5785
295,67,15736
296,39,23987
297,0,2298
298,77,57699
299,19,27261
300,68,21903
301,12,6300
302,31,16826
303,12,11119
304,14,11808
305,21,12623
306,77,12458
307,25,29038
308,8,6415
309,7,6776
310,0,3249
311,52,36318
312,1,9738
313,26,20630
314,41,15574
315,22,21760
316,10,7458
317,49,29053
318,0,1322
319,337,26845
320,4,4075
321,21,22416
322,41,17132
323,17,9642
324,16,10595
