region_id,total_num_registered_voters,total_num_republican,total_num_democratic,total_num_unaffiliated
454,202011,55577,90250,50337
455,19908,13274,3657,2525
456,144953,80859,28055,30710
457,19348,11586,4436,2855
458,507667,222746,131162,134656
459,1343112,306754,589738,414356
460,8595,5078,2407,1007
461,172626,88194,34942,42775
462,135367,75819,24990,29647
463,181950,97781,37548,40517
464,287770,153527,57467,68398
465,47951,26295,11798,8505
466,20020,9238,5619,4660
467,11679,7378,2191,1854
468,711979,252660,270700,164413
469,247421,111980,73824,53825
470,112026,53868,27465,26617
471,8821,4464,2656,1382
472,31151,6346,20628,3661
473,13882,9484,1999,1919
474,7979,4402,1863,1484
475,11952,7389,2605,1579
476,8396,4008,2995,1178
477,12077,6799,2714,2226
478,23354,10396,7352,5058
479,163952,78109,38771,41098
480,76225,38748,17690,17262
481,1008167,331100,345235,299768
482,12727,8869,1916,1660
483,131653,66245,30339,29997
484,31327,17133,9946,3649
485,10404,4788,4127,1287
486,4846,3554,828,387
487,319680,143785,81753,83808
488,568398,262457,127385,160767
489,221069,61193,106512,47262
490,34758,20106,7598,5821
491,4731,2827,1404,478
492,12941,5839,5243,1713
493,318783,149262,80026,79630
494,309298,149522,81634,67700
495,126918,66274,26928,28732
496,1636253,516833,552559,530147
497,62203,28172,16657,15084
498,87023,51397,15055,17360
499,167994,94323,28441,39345
500,25344,13762,5947,4744
501,945367,247229,371020,296037
502,295324,77484,104711,103754
503,1079804,337091,392121,314605
504,465173,197618,118954,130931
505,730988,268879,232922,205598
506,543200,211236,161714,151661
507,54964,28641,14316,10540
508,261288,140735,54121,58518
509,277261,100866,93813,72314
510,167508,101331,25472,34975
511,378871,176184,96674,94266
512,364783,126675,116108,108838
513,135506,79195,25629,27343
514,31128,18491,6821,4901
515,13685,8189,3739,1473
516,7909,5174,1764,814
517,452939,184474,124971,126862
518,26657,14247,6845,4662
519,68373,44588,9005,12551
520,17919,11316,3605,2612
