region_id,Type_of_Equipment_Used
68,"Ballot Marking Device,DRE with VVPAT,Scanner"
69,"Ballot Marking Device,Scanner"
70,"Ballot Marking Device,Scanner"
71,"Ballot Marking Device,Scanner"
72,"Ballot Marking Device,Scanner"
73,"Ballot Marking Device,Scanner"
74,"Ballot Marking Device,DRE with VVPAT,Scanner"
75,"Ballot Marking Device,Scanner"
76,"Ballot Marking Device,Scanner"
77,"Ballot Marking Device,Scanner"
78,"Ballot Marking Device,Scanner"
79,"Ballot Marking Device,Scanner"
80,"Ballot Marking Device,Scanner"
81,"Ballot Marking Device,Scanner"
82,"Ballot Marking Device,Scanner"
83,"Ballot Marking Device,Scanner"
84,"Ballot Marking Device,Scanner"
85,"Ballot Marking Device,Scanner"
86,Ballot Marking Device
87,"Ballot Marking Device,Scanner"
88,"Ballot Marking Device,Scanner"
89,"Ballot Marking Device,DRE with VVPAT,Scanner"
90,"Ballot Marking Device,Scanner"
91,"Ballot Marking Device,Scanner"
92,"Ballot Marking Device,Scanner"
94,Ballot Marking Device
95,"Ballot Marking Device,DRE with VVPAT"
96,Ballot Marking Device
97,"Ballot Marking Device,Scanner"
98,"Ballot Marking Device,Scanner"
99,"Ballot Marking Device,Scanner"
100,"Ballot Marking Device,Scanner"
101,"Ballot Marking Device,Scanner"
102,"Ballot Marking Device,Scanner"
103,DRE with VVPAT
104,DRE with VVPAT
105,"Ballot Marking Device,Scanner"
106,"Ballot Marking Device,Scanner"
107,Ballot Marking Device
108,"Ballot Marking Device,Scanner"
109,"Ballot Marking Device,Scanner"
110,"Ballot Marking Device,Scanner"
111,"Ballot Marking Device,Scanner"
112,Ballot Marking Device
113,"Ballot Marking Device,Scanner"
114,"Ballot Marking Device,Scanner"
115,Ballot Marking Device
116,Scanner
117,"Ballot Marking Device,Scanner"
118,"Ballot Marking Device,Scanner"
119,"Ballot Marking Device,Scanner"
121,"Ballot Marking Device,Scanner"
122,Scanner
123,"Ballot Marking Device,Scanner"
124,"Ballot Marking Device,Scanner"
125,"Ballot Marking Device,Scanner"
126,"Ballot Marking Device,Scanner"
127,"Ballot Marking Device,Scanner"
128,"Ballot Marking Device,Scanner"
129,"Ballot Marking Device,Scanner"
130,"Ballot Marking Device,Scanner"
131,"Ballot Marking Device,Scanner"
132,"DRE with VVPAT,Scanner"
133,"Ballot Marking Device,DRE with VVPAT,Scanner"
134,"Ballot Marking Device,DRE with VVPAT"
135,Ballot Marking Device
136,DRE with VVPAT
137,DRE with VVPAT
138,"Ballot Marking Device,Scanner"
139,"Ballot Marking Device,Scanner"
140,"Ballot Marking Device,Scanner"
141,"Ballot Marking Device,Scanner"
142,"Ballot Marking Device,DRE with VVPAT,Scanner"
143,"Ballot Marking Device,Scanner"
144,"Ballot Marking Device,Scanner"
145,"Ballot Marking Device,Scanner"
146,"Ballot Marking Device,Scanner"
147,Ballot Marking Device
149,Ballot Marking Device
150,"Ballot Marking Device,Scanner"
151,"Ballot Marking Device,Scanner"
152,"Ballot Marking Device,Scanner"
153,"Ballot Marking Device,Scanner"
154,Ballot Marking Device
155,"Ballot Marking Device,Scanner"
156,Ballot Marking Device
157,"Ballot Marking Device,Scanner"
158,Ballot Marking Device
159,"Ballot Marking Device,Scanner"
160,"Ballot Marking Device,Scanner"
161,"Ballot Marking Device,Scanner"
162,"Ballot Marking Device,Scanner"
163,"Ballot Marking Device,Scanner"
164,"Ballot Marking Device,Scanner"
165,"Ballot Marking Device,Scanner"
166,"Ballot Marking Device,Scanner"
167,"Ballot Marking Device,Scanner"
168,"Ballot Marking Device,Scanner"
169,"Ballot Marking Device,Scanner"
170,"Ballot Marking Device,Scanner"
171,"Ballot Marking Device,Scanner"
172,"Ballot Marking Device,Scanner"
173,"Ballot Marking Device,Scanner"
