region_id,region_name,equipment_quality_score,mail_rejected,provisional_rejected,uocava_rejected,total_rejected_ballots,absentee_ballots_counted,early_in_person_ballots,election_day_ballots,provisional_ballots_counted,total_ballots,percent_rejected_ballots
1,Autauga County,0.00,14.0,75.0,0.0,89.0,1670.0,0.0,1670.0,52.0,28388.0,0.31
2,Baldwin County,0.00,187.0,461.0,0.0,648.0,7771.0,0.0,7771.0,787.0,122542.0,0.53
3,Barbour County,0.00,56.0,46.0,0.0,102.0,593.0,0.0,593.0,53.0,9919.0,1.03
4,Bibb County,0.00,3.0,27.0,0.0,30.0,351.0,0.0,351.0,11.0,9278.0,0.32
5,Blount County,0.00,2.0,198.0,0.0,200.0,965.0,0.0,965.0,88.0,28138.0,0.71
6,Bullock County,0.00,1.0,3.0,0.0,4.0,406.0,0.0,406.0,2.0,4144.0,0.1
7,Butler County,0.00,0.0,13.0,0.0,13.0,464.0,0.0,464.0,27.0,8530.0,0.15
8,Calhoun County,0.00,63.0,236.0,0.0,299.0,2415.0,0.0,2415.0,89.0,48819.0,0.61
9,Chambers County,0.00,15.0,28.0,0.0,43.0,774.0,0.0,774.0,24.0,14380.0,0.3
10,Cherokee County,0.00,6.0,43.0,0.0,49.0,522.0,0.0,522.0,39.0,13030.0,0.38
11,Chilton County,0.00,9.0,32.0,0.0,41.0,682.0,0.0,682.0,23.0,19824.0,0.21
12,Choctaw County,0.00,8.0,0.0,0.0,8.0,452.0,0.0,452.0,9.0,6692.0,0.12
13,Clarke County,0.00,25.0,26.0,0.0,51.0,724.0,0.0,724.0,19.0,11993.0,0.43
14,Clay County,0.00,4.0,0.0,0.0,4.0,324.0,0.0,324.0,0.0,6759.0,0.06
15,Cleburne County,0.00,4.0,2.0,0.0,6.0,412.0,0.0,412.0,4.0,7860.0,0.08
16,Coffee County,0.00,29.0,44.0,0.0,73.0,1331.0,0.0,1331.0,50.0,22367.0,0.33
17,Colbert County,0.00,2.0,89.0,0.0,91.0,1316.0,0.0,1316.0,150.0,27239.0,0.33
18,Conecuh County,0.00,20.0,9.0,0.0,29.0,479.0,0.0,479.0,7.0,6105.0,0.48
19,Coosa County,0.00,0.0,9.0,0.0,9.0,210.0,0.0,210.0,10.0,5276.0,0.17
20,Covington County,0.00,0.0,42.0,0.0,42.0,1025.0,0.0,1025.0,32.0,17165.0,0.24
21,Crenshaw County,0.00,2.0,22.0,0.0,24.0,314.0,0.0,314.0,11.0,6516.0,0.37
22,Cullman County,0.00,19.0,43.0,0.0,62.0,1858.0,0.0,1858.0,25.0,43311.0,0.14
23,Dale County,0.00,0.0,15.0,0.0,15.0,1043.0,0.0,1043.0,5.0,19207.0,0.08
