region_id,total_registered_voters,active_registered_voters,inactive_registered_voters,active_percentage
1,46292.0,41817.0,4475.0,90.33
2,207668.0,181019.0,26649.0,87.17
3,17656.0,15697.0,1959.0,88.9
4,15154.0,14304.0,850.0,94.39
5,43590.0,41217.0,2373.0,94.56
6,7181.0,6378.0,803.0,88.82
7,14526.0,13239.0,1287.0,91.14
8,84073.0,76248.0,7825.0,90.69
9,26799.0,23993.0,2806.0,89.53
10,21374.0,19253.0,2121.0,90.08
11,31677.0,29744.0,1933.0,93.9
12,10766.0,9626.0,1140.0,89.41
13,19143.0,17266.0,1877.0,90.19
14,10603.0,10013.0,590.0,94.44
15,12193.0,10868.0,1325.0,89.13
16,39774.0,34866.0,4908.0,87.66
17,45322.0,41966.0,3356.0,92.6
18,9820.0,8890.0,930.0,90.53
19,8363.0,7769.0,594.0,92.9
20,29306.0,26682.0,2624.0,91.05
21,10851.0,10016.0,835.0,92.3
22,66593.0,62255.0,4338.0,93.49
23,37100.0,31939.0,5161.0,86.09
24,29534.0,26589.0,2945.0,90.03
25,48073.0,44267.0,3806.0,92.08
26,63576.0,59630.0,3946.0,93.79
27,28277.0,25243.0,3034.0,89.27
28,77749.0,71593.0,6156.0,92.08
29,12897.0,12201.0,696.0,94.6
30,19923.0,18875.0,1048.0,94.74
31,20768.0,18717.0,2051.0,90.12
32,6572.0,6078.0,494.0,92.48
33,12162.0,11349.0,813.0,93.32
34,14763.0,13558.0,1205.0,91.84
35,82248.0,72803.0,9445.0,88.52
36,40987.0,37446.0,3541.0,91.36
37,501909.0,456566.0,45343.0,90.97
38,11087.0,10262.0,825.0,92.56
39,70859.0,63972.0,6887.0,90.28
40,25906.0,24559.0,1347.0,94.8
41,134158.0,112126.0,22032.0,83.58
42,82645.0,76274.0,6371.0,92.29
43,9668.0,8817.0,851.0,91.2
44,16971.0,13039.0,3932.0,76.83
45,333091.0,289328.0,43763.0,86.86
46,15711.0,14200.0,1511.0,90.38
47,22676.0,20913.0,1763.0,92.23
48,67816.0,62938.0,4878.0,92.81
49,322520.0,279250.0,43270.0,86.58
50,16352.0,14863.0,1489.0,90.89
51,163673.0,147798.0,15875.0,90.3
52,88609.0,82657.0,5952.0,93.28
53,7630.0,6941.0,689.0,90.97
54,14037.0,12814.0,1223.0,91.29
55,24517.0,21081.0,3436.0,85.99
56,19342.0,16925.0,2417.0,87.5
57,46543.0,36546.0,9997.0,78.52
58,73065.0,68344.0,4721.0,93.54
59,178361.0,163963.0,14398.0,91.93
60,9633.0,8222.0,1411.0,85.35
61,61345.0,55291.0,6054.0,90.13
62,32578.0,29617.0,2961.0,90.91
63,154595.0,132901.0,21694.0,85.97
64,49224.0,45277.0,3947.0,91.98
65,13785.0,12683.0,1102.0,92.01
66,8555.0,8222.0,333.0,96.11
67,17826.0,16803.0,1023.0,94.26
68,611078.0,565242.0,45836.0,92.5
69,57277.0,53735.0,3542.0,93.82
70,93667.0,82242.0,11425.0,87.8
71,107747.0,90681.0,17066.0,84.16
72,38962.0,34653.0,4309.0,88.94
73,23295.0,20714.0,2581.0,88.92
74,5283.0,4720.0,563.0,89.34
75,14515.0,12351.0,2164.0,85.09
76,3063444.0,2587196.0,476248.0,84.45
77,173057.0,147549.0,25508.0,85.26
78,78980.0,69315.0,9665.0,87.76
79,741244.0,662357.0,78887.0,89.36
80,318271.0,282639.0,35632.0,88.8
81,33602.0,31758.0,1844.0,94.51
82,197449.0,175210.0,22239.0,88.74
83,128544.0,111666.0,16878.0,86.87
84,9137.0,6396.0,2741.0,70.0
85,10336.0,7857.0,2479.0,76.02
86,30823.0,23560.0,7263.0,76.44
87,193492.0,147536.0,45956.0,76.25
88,25164.0,19476.0,5688.0,77.4
89,5211.0,3667.0,1544.0,70.37
90,2943.0,2343.0,600.0,79.61
91,16552.0,13365.0,3187.0,80.75
92,5714.0,4383.0,1331.0,76.71
93,12839.0,8986.0,3853.0,69.99
94,7671.0,5251.0,2420.0,68.45
95,18252.0,14542.0,3710.0,79.67
96,4853.0,3860.0,993.0,79.54
97,12145.0,8734.0,3411.0,71.91
98,12583.0,11304.0,1279.0,89.84
99,58517.0,43207.0,15310.0,73.84
100,36345.0,25754.0,10591.0,70.86
101,28441.0,16762.0,11679.0,58.94
102,9701.0,7505.0,2196.0,77.36
103,4212.0,3450.0,762.0,81.91
104,6979.0,4354.0,2625.0,62.39
105,10707.0,7247.0,3460.0,67.68
106,78723.0,60824.0,17899.0,77.26
107,10691.0,7863.0,2828.0,73.55
108,7307.0,5808.0,1499.0,79.49
109,63951.0,48074.0,15877.0,75.17
110,11446.0,10686.0,760.0,93.36
111,24086.0,17754.0,6332.0,73.71
112,9145.0,6912.0,2233.0,75.58
113,18518.0,14604.0,3914.0,78.86
114,7460.0,5336.0,2124.0,71.53
115,21207.0,16015.0,5192.0,75.52
116,10480.0,7605.0,2875.0,72.57
117,7473.0,5835.0,1638.0,78.08
118,37163.0,25021.0,12142.0,67.33
119,14599.0,9366.0,5233.0,64.16
120,3540.0,2822.0,718.0,79.72
121,8525.0,6758.0,1767.0,79.27
122,4059.0,2954.0,1105.0,72.78
123,5121.0,3855.0,1266.0,75.28
124,7017.0,5826.0,1191.0,83.03
125,14136.0,8921.0,5215.0,63.11
126,50732.0,33954.0,16778.0,66.93
127,11443.0,9833.0,1610.0,85.93
128,11586.0,9319.0,2267.0,80.43
129,27698.0,17871.0,9827.0,64.52
130,20151.0,12762.0,7389.0,63.33
131,3868.0,3018.0,850.0,78.02
132,5299.0,3759.0,1540.0,70.94
133,5781.0,3310.0,2471.0,57.26
134,6163.0,4295.0,1868.0,69.69
135,16001.0,8644.0,7357.0,54.02
136,7014.0,6164.0,850.0,87.88
137,8915.0,5772.0,3143.0,64.74
138,6469.0,5065.0,1404.0,78.3
139,12438.0,8837.0,3601.0,71.05
140,12157.0,9555.0,2602.0,78.6
141,35172.0,27117.0,8055.0,77.1
142,4725.0,3857.0,868.0,81.63
143,241753.0,177657.0,64096.0,73.49
144,10541.0,8072.0,2469.0,76.58
145,10437.0,7107.0,3330.0,68.09
146,81462.0,64705.0,16757.0,79.43
147,5009.0,4027.0,982.0,80.4
148,6230.0,6171.0,59.0,99.05
149,72609.0,53203.0,19406.0,73.27
150,7435.0,5511.0,1924.0,74.12
151,11175.0,9035.0,2140.0,80.85
152,8673.0,7551.0,1122.0,87.06
153,27463.0,14463.0,13000.0,52.66
154,11790.0,8972.0,2818.0,76.1
155,148050.0,111568.0,36482.0,75.36
156,46212.0,35990.0,10222.0,77.88
157,4195.0,2441.0,1754.0,58.19
158,9813.0,7676.0,2137.0,78.22
159,1181.0,974.0,207.0,82.47
160,28344.0,26906.0,1438.0,94.93
161,152776.0,127998.0,24778.0,83.78
162,11198.0,10768.0,430.0,96.16
163,789340.0,732340.0,57000.0,92.78
164,19469.0,15013.0,4456.0,77.11
165,149281.0,138274.0,11007.0,92.63
166,613741.0,525065.0,88676.0,85.55
167,15969.0,14314.0,1655.0,89.64
168,102109.0,83897.0,18212.0,82.16
169,119053.0,86841.0,32212.0,72.94
170,12445.0,10772.0,1673.0,86.56
171,505590.0,464737.0,40853.0,91.92
172,78919.0,66256.0,12663.0,83.95
173,48271.0,37934.0,10337.0,78.59
174,17570.0,15234.0,2336.0,86.7
175,6290572.0,5760725.0,529847.0,91.58
176,84219.0,80089.0,4130.0,95.1
177,191596.0,174698.0,16898.0,91.18
178,13233.0,11767.0,1466.0,88.92
179,60657.0,54639.0,6018.0,90.08
180,159639.0,134661.0,24978.0,84.35
181,6392.0,5129.0,1263.0,80.24
182,9175.0,7816.0,1359.0,85.19
183,232769.0,214883.0,17886.0,92.32
184,91759.0,85951.0,5808.0,93.67
185,91682.0,75626.0,16056.0,82.49
186,2190802.0,1902064.0,288738.0,86.82
187,319375.0,295691.0,23684.0,92.58
188,18559.0,13834.0,4725.0,74.54
189,1709363.0,1406690.0,302673.0,82.29
190,1020531.0,907410.0,113121.0,88.92
191,39465.0,38459.0,1006.0,97.45
192,1439146.0,1196235.0,242911.0,83.12
193,2228462.0,1994663.0,233799.0,89.51
194,596864.0,535459.0,61405.0,89.71
195,436112.0,392755.0,43357.0,90.06
196,209304.0,186512.0,22792.0,89.11
197,471083.0,444652.0,26431.0,94.39
198,266852.0,250270.0,16582.0,93.79
199,1134366.0,1064954.0,69412.0,93.88
200,220695.0,175080.0,45615.0,79.33
201,147390.0,117551.0,29839.0,79.76
202,2326.0,2240.0,86.0,96.3
203,32115.0,27966.0,4149.0,87.08
204,297743.0,269515.0,28228.0,90.52
205,358631.0,313675.0,44956.0,87.46
206,381632.0,292333.0,89299.0,76.6
207,61437.0,54149.0,7288.0,88.14
208,44143.0,38062.0,6081.0,86.22
209,9101.0,7565.0,1536.0,83.12
210,238783.0,223642.0,15141.0,93.66
211,39235.0,35554.0,3681.0,90.62
212,579534.0,525089.0,54445.0,90.61
213,148615.0,123431.0,25184.0,83.05
214,47111.0,44078.0,3033.0,93.56
215,1096859.0,960007.0,136852.0,87.52
216,38014.0,33710.0,4304.0,88.68
217,356527.0,322636.0,33891.0,90.49
