region_id,total_mail_ballot,total_rejection,late,missing_voter_signature,missing_witness_signature,non_matching_voter_signature,unofficial_envelope,ballot_missing_from_envelope,no_secrecy_envelope,multiple_ballots_in_one_envelope,envelope_not_sealed,no_postmark,no_resident_address_on_envelope,voter_deceased,voter_already_voted,missing_documentation,voter_not_eligible,no_ballot_application,rejection%
1,1670,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84
2,7771,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41
3,593,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44
4,351,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85
5,965,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21
6,406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
7,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,2415,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61
9,774,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94
10,522,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15
11,682,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32
12,452,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77
13,724,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45
14,324,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23
15,412,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97
16,1331,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18
17,1316,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15
18,479,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18
19,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,314,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
22,1858,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02
23,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,1283,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
26,1943,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62
27,716,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84
28,2605,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72
29,293,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68
30,464,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29
31,437,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06
32,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
34,497,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01
35,2278,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58
36,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,15841,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93
38,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,2333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
40,446,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67
41,4789,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01
42,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
43,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
44,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,15310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,678,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03
47,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
48,1731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
49,8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,770,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9
51,6818,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66
52,2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
53,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,485,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65
56,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
58,2305,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
59,5759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,1389,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81
62,1094,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
63,4212,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35
64,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,693,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58
67,454,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98
68,48744,872,147,73,400,0,0,11,0,0,0,0,0,0,53,164,1,11,1.79
69,3461,755,1,13,0,147,1,1,0,0,0,0,0,9,15,0,0,0,21.81
70,42124,681,104,36,0,494,16,19,0,3,0,0,0,0,9,0,0,0,1.62
71,49440,263,76,36,0,129,0,6,0,0,0,0,0,0,16,0,0,0,0.53
72,19750,80,36,14,0,15,0,2,0,0,0,0,0,0,4,0,0,0,0.41
73,8889,31,19,3,0,6,0,1,0,1,0,0,0,1,0,0,0,0,0.35
74,2023,69,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.41
75,4567,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.09
76,1812040,9992,1433,1339,0,7220,0,0,0,0,0,0,0,0,0,0,0,0,0.55
77,68876,413,121,31,0,198,0,16,0,0,0,0,0,8,39,0,0,0,0.6
78,33399,262,63,27,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0.78
79,442409,9332,479,59,0,898,0,10,0,0,0,0,0,0,70,236,0,0,2.11
80,148638,698,202,57,0,202,0,35,0,0,0,0,0,7,100,0,0,0,0.47
81,12879,361,24,3,0,120,0,1,0,0,0,0,0,1,2,0,0,0,2.8
82,117691,508,104,148,0,192,1,1,0,0,0,0,0,0,12,0,0,0,0.43
83,50699,1622,85,155,0,311,0,8,0,0,0,0,0,0,0,0,0,0,3.2
84,71,12,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,16.9
85,183,7,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3.83
86,698,37,3,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,5.3
87,2940,219,0,0,2,9,0,0,0,0,0,0,8,0,0,121,0,0,7.45
88,367,14,6,2,0,2,0,0,0,0,0,0,0,1,0,3,0,0,3.81
89,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.59
90,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.33
91,289,24,1,3,0,4,0,0,0,0,0,0,0,0,0,11,0,0,8.3
92,147,12,4,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,8.16
93,232,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59
94,28,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17.86
95,333,51,17,0,0,2,0,0,0,0,0,0,0,2,2,15,0,0,15.32
96,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
97,254,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3.15
98,344,91,0,0,0,0,0,0,0,0,0,0,0,0,0,17,66,0,26.45
99,703,82,14,0,0,21,0,0,0,0,0,0,0,0,0,45,0,0,11.66
100,428,57,57,21,21,21,0,0,0,0,0,0,0,0,0,16,0,0,13.32
101,322,26,0,3,0,2,0,0,0,0,0,0,0,0,0,21,0,0,8.07
102,167,23,5,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,13.77
103,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
104,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
