region_id,geo_id,total_num_registered_voters,total_num_republican,total_num_democratic,total_num_unaffiliated,total_cvap,registered_voter%,completeness,contact_completeness
454,12001,202011,55577,90250,50337,218105,92.62,0.66,0.41
455,12003,19908,13274,3657,2525,21145,94.15,0.64,0.30
456,12005,144953,80859,28055,30710,137125,100.0,0.65,0.36
457,12007,19348,11586,4436,2855,22080,87.63,0.65,0.42
458,12009,507667,222746,131162,134656,490830,100.0,0.65,0.44
459,12011,1343112,306754,589738,414356,1300895,100.0,0.66,0.50
460,12013,8595,5078,2407,1007,10605,81.05,0.67,0.45
461,12015,172626,88194,34942,42775,165490,100.0,0.64,0.25
462,12017,135367,75819,24990,29647,133020,100.0,0.64,0.35
463,12019,181950,97781,37548,40517,167990,100.0,0.65,0.41
464,12021,287770,153527,57467,68398,282480,100.0,0.65,0.40
465,12023,47951,26295,11798,8505,53825,89.09,0.65,0.42
466,12027,20020,9238,5619,4660,25710,77.87,0.64,0.22
467,12029,11679,7378,2191,1854,13630,85.69,0.67,0.43
468,12031,711979,252660,270700,164413,736910,96.62,0.65,0.39
469,12033,247421,111980,73824,53825,247030,100.0,0.66,0.46
470,12035,112026,53868,27465,26617,97685,100.0,0.64,0.26
471,12037,8821,4464,2656,1382,10225,86.27,0.68,0.43
472,12039,31151,6346,20628,3661,32700,95.26,0.65,0.43
473,12041,13882,9484,1999,1919,14135,98.21,0.65,0.35
474,12043,7979,4402,1863,1484,9860,80.92,0.66,0.43
475,12045,11952,7389,2605,1579,12330,96.93,0.66,0.53
476,12047,8396,4008,2995,1178,10415,80.61,0.66,0.35
477,12049,12077,6799,2714,2226,17405,69.39,0.65,0.31
478,12051,23354,10396,7352,5058,24710,94.51,0.66,0.47
479,12053,163952,78109,38771,41098,159475,100.0,0.64,0.36
480,12055,76225,38748,17690,17262,81620,93.39,0.64,0.36
481,12057,1008167,331100,345235,299768,1045525,96.43,0.65,0.38
482,12059,12727,8869,1916,1660,15520,82.0,0.64,0.32
483,12061,131653,66245,30339,29997,133600,98.54,0.64,0.28
484,12063,31327,17133,9946,3649,38200,82.01,0.65,0.36
485,12065,10404,4788,4127,1287,12025,86.52,0.66,0.44
486,12067,4846,3554,828,387,6365,76.14,0.65,0.23
487,12069,319680,143785,81753,83808,307885,100.0,0.64,0.33
488,12071,568398,262457,127385,160767,592850,95.88,0.64,0.36
489,12073,221069,61193,106512,47262,231775,95.38,0.66,0.45
490,12075,34758,20106,7598,5821,34455,100.0,0.65,0.32
491,12077,4731,2827,1404,478,6065,78.0,0.66,0.33
492,12079,12941,5839,5243,1713,14540,89.0,0.66,0.43
493,12081,318783,149262,80026,79630,317720,100.0,0.65,0.41
494,12083,309298,149522,81634,67700,303105,100.0,0.62,0.07
495,12085,126918,66274,26928,28732,127200,99.78,0.63,0.18
496,12086,1636253,516833,552559,530147,1627425,100.0,0.64,0.30
497,12087,62203,28172,16657,15084,62975,98.77,0.66,0.41
498,12089,87023,51397,15055,17360,74950,100.0,0.66,0.47
499,12091,167994,94323,28441,39345,158160,100.0,0.65,0.34
500,12093,25344,13762,5947,4744,29270,86.59,0.64,0.28
501,12095,945367,247229,371020,296037,985570,95.92,0.64,0.28
502,12097,295324,77484,104711,103754,266215,100.0,0.64,0.40
503,12099,1079804,337091,392121,314605,1065435,100.0,0.65,0.42
504,12101,465173,197618,118954,130931,445900,100.0,0.64,0.32
505,12103,730988,268879,232922,205598,772130,94.67,0.65,0.34
506,12105,543200,211236,161714,151661,550365,98.7,0.65,0.42
507,12107,54964,28641,14316,10540,56140,97.91,0.66,0.38
508,12109,261288,140735,54121,58518,220620,100.0,0.64,0.35
509,12111,277261,100866,93813,72314,257765,100.0,0.65,0.42
510,12113,167508,101331,25472,34975,148110,100.0,0.64,0.26
511,12115,378871,176184,96674,94266,368045,100.0,0.64,0.32
512,12117,364783,126675,116108,108838,352135,100.0,0.62,0.05
513,12119,135506,79195,25629,27343,125235,100.0,0.64,0.32
514,12121,31128,18491,6821,4901,33965,91.65,0.64,0.27
515,12123,13685,8189,3739,1473,16680,82.04,0.65,0.33
516,12125,7909,5174,1764,814,12045,65.66,0.64,0.31
517,12127,452939,184474,124971,126862,452180,100.0,0.64,0.28
518,12129,26657,14247,6845,4662,26960,98.88,0.66,0.42
519,12131,68373,44588,9005,12551,60815,100.0,0.64,0.30
520,12133,17919,11316,3605,2612,19855,90.25,0.64,0.32
