region_id,Voter_Not_on_List,Voter_Lacked_ID,Election_Official_Challenged_Eligibility,Another_Person_Challenged_Eligibility,Voter_Not_Resident,Voter_Registration_Not_Updated,Voter_Did_Not_Surrender_Mail_Ballot,Judge_Extended_Voting_Hours,Voter_Used_SDR,Other,Total_Provisional
1,0,0,0,0,0,0,0,0,0,0,127
2,0,0,0,0,0,0,0,0,0,0,1248
3,2,0,0,0,48,0,0,0,0,0,99
4,3,0,0,0,1,0,0,0,0,0,38
5,8,0,0,0,67,1,0,0,0,0,286
6,0,0,0,0,0,0,0,0,0,0,5
7,3,0,0,0,17,0,0,0,0,0,40
8,18,2,0,0,58,0,0,0,0,0,325
9,4,0,0,0,6,0,0,0,0,0,52
10,8,0,0,0,25,0,0,0,0,0,82
11,6,0,0,0,6,0,0,0,0,0,55
12,0,0,0,0,9,0,0,0,0,0,9
13,2,3,0,0,9,0,0,0,0,0,45
14,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,3,0,0,0,0,0,6
16,1,0,0,0,39,0,0,0,0,0,94
17,1,0,0,0,1,0,0,0,0,0,239
18,2,0,0,0,0,0,0,0,0,0,16
19,7,0,0,0,10,0,0,0,0,0,19
20,21,1,0,0,4,0,0,0,0,0,74
21,6,0,0,0,0,0,0,0,0,0,33
22,0,0,0,0,10,0,0,0,0,0,68
23,4,0,0,0,0,0,0,0,0,0,20
24,2,0,0,0,0,0,0,0,0,0,26
25,3,3,0,0,0,0,0,0,0,0,89
26,19,0,0,0,22,0,0,0,0,0,108
27,3,0,0,0,0,0,0,0,0,0,87
28,33,0,0,0,210,0,0,0,0,0,595
29,3,0,0,0,9,0,0,0,0,0,25
30,0,2,0,0,0,0,0,0,0,0,2
31,0,0,0,0,0,0,0,0,0,0,23
32,0,0,0,0,0,0,0,0,0,0,1
33,11,0,0,0,5,0,0,0,0,0,28
34,7,0,0,0,0,0,0,0,0,0,27
35,0,0,0,0,5,0,0,0,0,0,329
36,9,0,0,0,0,0,0,0,0,0,36
37,6,0,0,0,266,0,0,0,0,0,847
38,3,0,0,0,0,0,0,0,0,0,11
39,2,0,0,0,111,0,0,0,0,0,277
40,0,0,0,0,0,0,0,0,0,0,97
41,0,0,0,0,0,0,0,0,0,0,0
42,4,0,0,0,386,0,0,0,0,0,665
43,0,0,0,0,0,0,0,0,0,0,22
44,0,0,0,0,6,0,0,0,0,0,79
45,13,2,0,0,427,0,0,0,0,0,789
46,5,0,0,0,3,0,0,0,0,0,68
47,0,0,0,0,0,0,0,0,0,0,23
48,2,4,0,0,71,0,0,0,0,0,249
49,28,0,0,0,1395,0,0,0,0,0,3011
50,0,0,0,0,0,0,0,0,0,0,0
51,0,1,0,0,0,0,0,0,0,0,706
52,42,0,0,0,125,0,0,0,0,0,345
53,2,0,0,0,0,0,0,0,0,0,17
54,0,0,0,0,0,0,0,0,0,0,15
55,0,0,0,0,19,0,0,0,0,0,47
56,0,0,0,0,2,0,0,0,0,0,8
57,1,1,0,0,1,0,0,0,0,0,36
58,0,0,0,0,0,0,0,0,0,0,864
59,1,0,0,0,50,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,14
61,2,0,0,0,21,0,0,0,0,0,159
62,8,0,0,0,17,0,0,0,0,0,53
63,3,0,0,0,138,0,0,0,0,0,350
64,3,0,0,0,72,0,0,0,0,0,154
65,1,1,0,0,7,0,0,0,0,0,46
66,0,0,0,0,3,0,0,0,0,0,29
67,4,0,0,0,2,0,0,0,0,0,18
68,0,0,0,0,0,0,0,0,0,0,15138
69,547,230,0,0,443,0,67,0,0,2238,3525
70,304,0,0,0,0,98,246,0,0,0,648
71,907,85,0,0,135,412,0,0,0,80,1619
72,193,95,54,26,0,0,5,0,0,9,382
73,13,0,0,0,0,89,0,0,0,0,102
74,9,0,0,0,7,19,0,0,0,11,46
75,200,0,0,0,21,18,397,0,0,0,636
76,20007,5000,0,0,0,0,234,0,0,684,25925
77,0,0,0,0,0,0,0,0,0,0,2405
78,363,10,0,0,236,622,0,0,0,56,1287
79,3108,403,209,0,0,3038,0,0,0,91,6849
80,0,0,0,0,0,0,0,0,0,0,3664
81,216,0,0,0,16,116,0,0,0,28,376
82,825,18,0,0,22,0,0,0,0,395,1260
83,0,13,0,0,2,0,0,0,481,691,1187
84,8,0,0,0,0,0,3,0,0,0,11
85,13,0,0,0,0,0,0,0,0,1,14
86,7,14,0,0,0,0,0,0,0,0,21
87,866,90,0,0,0,10,45,0,0,0,1011
88,60,2,51,0,0,0,1,0,5,0,60
89,3,7,0,0,0,0,0,0,0,0,10
90,23,2,0,0,0,0,0,0,0,3,28
91,72,14,0,0,0,73,0,0,47,0,206
92,3,6,0,0,0,0,0,0,0,4,13
93,0,0,0,0,0,0,0,0,0,0,0
94,72,0,0,0,0,0,0,0,0,0,72
95,0,0,0,0,0,0,0,0,0,0,2
96,2,0,0,0,1,2,0,0,0,0,5
97,51,7,0,0,0,0,0,0,0,13,71
98,90,9,0,0,0,0,0,0,0,16,115
99,452,20,0,0,6,0,19,0,0,1,498
100,153,20,0,0,0,0,0,0,120,0,153
101,140,24,0,1,0,0,2,0,0,25,192
102,56,6,1,1,0,0,4,0,0,19,87
103,1,0,0,0,0,0,0,0,0,0,1
104,0,0,0,0,0,0,0,0,0,0,0
105,1,7,2,0,0,0,0,0,0,0,10
106,195,52,0,0,0,0,6,0,0,31,284
