,state_id,Manufacturer,Model Name,quantity,Equipment Type,Age,OS,Certification Level,Scanning Rate,Error Rate,Reliability,Quality
0,02,Dominion,ImageCast Central,11,Batch-Fed Optical Scanner,14,Windows,VVSG 1.0 (2005),High-speed,"<=1/500,000",0.75,0.57
1,02,Dominion,ImageCast Precinct 2,562,Hand-Fed Optical Scanner,,,VVSG 1.0 (2005),,"<=1/500,000",0.7,0.51
2,02,Dominion,ImageCast X as DRE,145,DRE Touchscreen,,,,,,0.95,0.83
3,04,Dominion,ImageCast Central,12,Batch-Fed Optical Scanner,14,Windows,VVSG 1.0 (2005),High-speed,"<=1/500,000",0.75,0.57
4,04,Dominion,ImageCast Precinct 2,507,Hand-Fed Optical Scanner,,,VVSG 1.0 (2005),,"<=1/500,000",0.7,0.51
5,04,Dominion,ImageCast X as DRE,224,DRE Touchscreen,,,,,,0.95,0.83
6,04,ES&S,DS200,48,Hand-Fed Optical Scanner,15,Windows,VVSG 1.0 (2005),Highspeed,"<=1/500,000",0.75,0.57
7,04,ES&S,DS300,1,Hand-Fed Optical Scanner,,Windows,VVSG 1.0 (2005),,"<=1/500,000",0.7,0.57
8,04,ES&S,DS450,10,Batch-Fed Optical Scanner,9,Windows,VVSG 1.0 (2005),72 ballots/minute,"<=1/500,000",0.85,0.64
9,04,ES&S,DS850,15,Batch-Fed Optical Scanner,13,Windows,VVSG 1.0 (2005),300 ballots/min,"<=1/500,000",0.75,0.64
10,04,ES&S,DS950,7,Batch-Fed Optical Scanner,,,(VVSG) 2.0,280 ballots/minute,"<=1/1,670,000",0.7,0.66
11,04,ES&S,ExpressTouch,18,DRE Touchscreen,,Windows,VVSG 1.0 (2005),,"<=1/500,000",0.7,0.58
12,04,ES&S,ExpressVote,910,BMD,11,Windows,VVSG 1.0 (2005),,"<=1/500,000",0.85,0.62
13,04,ES&S,ExpressVote XL,3,BMD/Tabulator,,Windows,VVSG 1.0 (2005),,"<=1/500,000",0.7,0.58
14,04,Unisyn,Freedom Vote Tablet (FVT),47,BMD,,,,,,1.0,0.86
15,04,Unisyn,OpenElect (OVCS),4,,,,,,,,
16,05,ES&S,DS200,1087,Hand-Fed Optical Scanner,15,Windows,VVSG 1.0 (2005),Highspeed,"<=1/500,000",0.75,0.57
17,05,ES&S,DS450,3,Batch-Fed Optical Scanner,9,Windows,VVSG 1.0 (2005),72 ballots/minute,"<=1/500,000",0.85,0.64
18,05,ES&S,ExpressVote,4584,BMD,11,Windows,VVSG 1.0 (2005),,"<=1/500,000",0.85,0.62
19,05,ES&S,iVotronic,318,DRE Touchscreen,,,,,,0.65,0.3
20,06,Avalue,SLD-21V-237-B1R,603,,,,,,,,
21,06,Dominion,Democracy Suite 5.10-A,16,,,,,,,,
22,06,Dominion,ImageCast Central,210,Batch-Fed Optical Scanner,14,Windows,VVSG 1.0 (2005),High-speed,"<=1/500,000",0.75,0.57
23,06,Dominion,ImageCast Evolution,136,Hybrid Optical Scanner/BMD,14,Windows,VVSG 1.0 (2005),,"<=1/500,000",0.75,0.57
24,06,Dominion,ImageCast Precinct 2,425,Hand-Fed Optical Scanner,,,VVSG 1.0 (2005),,"<=1/500,000",0.7,0.51
25,06,Dominion,ImageCast X,9114,BMD,12,Android,VVSG 1.0 (2005),,"<=1/500,000",0.75,0.67
26,06,ES&S,DS200,13,Hand-Fed Optical Scanner,15,Windows,VVSG 1.0 (2005),Highspeed,"<=1/500,000",0.75,0.57
27,06,ES&S,DS300,28,Hand-Fed Optical Scanner,,Windows,VVSG 1.0 (2005),,"<=1/500,000",0.7,0.57
28,06,ES&S,DS450,4,Batch-Fed Optical Scanner,9,Windows,VVSG 1.0 (2005),72 ballots/minute,"<=1/500,000",0.85,0.64
29,06,ES&S,DS950,0,Batch-Fed Optical Scanner,,,(VVSG) 2.0,280 ballots/minute,"<=1/1,670,000",0.7,0.66
30,06,ES&S,ExpressVote,72,BMD,11,Windows,VVSG 1.0 (2005),,"<=1/500,000",0.85,0.62
31,06,Hart InterCivic,Verity Central,54,Batch-Fed Optical Scanner,,,,,,0.95,0.69
