region_id,total_pollbook_deletion,deletion%
1,1274.0,2.75
2,4442.0,2.14
3,611.0,3.46
4,531.0,3.5
5,1414.0,3.24
6,270.0,3.76
7,526.0,3.62
8,1924.0,2.29
9,902.0,3.37
10,736.0,3.44
11,1005.0,3.17
12,391.0,3.63
13,651.0,3.4
14,388.0,3.66
15,385.0,3.16
16,1103.0,2.77
17,1474.0,3.25
18,578.0,5.89
19,311.0,3.72
20,1006.0,3.43
21,364.0,3.35
22,2131.0,3.2
23,1161.0,3.13
24,1122.0,3.8
25,1685.0,3.51
26,1932.0,3.04
27,950.0,3.36
28,2910.0,3.74
29,525.0,4.07
30,760.0,3.81
31,840.0,4.04
32,256.0,3.9
33,393.0,3.23
34,529.0,3.58
35,3714.0,4.52
36,1326.0,3.24
37,13649.0,2.72
38,361.0,3.26
39,2207.0,3.11
40,868.0,3.35
41,2598.0,1.94
42,2560.0,3.1
43,342.0,3.54
44,503.0,2.96
45,8697.0,2.61
46,538.0,3.42
47,836.0,3.69
48,2561.0,3.78
49,9405.0,2.92
50,588.0,3.6
51,5583.0,3.41
52,2914.0,3.29
53,287.0,3.76
54,494.0,3.52
55,781.0,3.19
56,556.0,2.87
57,1040.0,2.23
58,2135.0,2.92
59,3742.0,2.1
60,276.0,2.87
61,2201.0,3.59
62,1109.0,3.4
63,3994.0,2.58
64,1915.0,3.89
65,428.0,3.1
66,305.0,3.57
67,654.0,3.67
68,48917.0,8.01
69,3513.0,6.13
70,4781.0,5.1
71,9239.0,8.57
72,2931.0,7.52
73,1524.0,6.54
74,338.0,6.4
75,663.0,4.57
76,250000.0,8.16
77,13837.0,8.0
78,4995.0,6.32
79,60402.0,8.15
80,16830.0,5.29
81,1933.0,5.75
82,23737.0,12.02
83,7989.0,6.21
84,324.0,3.55
85,1342.0,12.98
86,3628.0,11.77
87,18161.0,9.39
88,3885.0,15.44
89,485.0,9.31
90,442.0,15.02
91,977.0,5.9
92,710.0,12.43
93,520.0,4.05
94,982.0,12.8
95,2179.0,11.94
96,1296.0,26.71
97,1530.0,12.6
98,471.0,3.74
99,6757.0,11.55
100,3657.0,10.06
101,6649.0,23.38
102,1108.0,11.42
103,74.0,1.76
104,430.0,6.16
105,1146.0,10.7
106,8090.0,10.28
107,422.0,3.95
108,935.0,12.8
109,8313.0,13.0
110,1186.0,10.36
111,786.0,3.26
112,385.0,4.21
113,2169.0,11.71
114,323.0,4.33
115,2413.0,11.38
116,195.0,1.86
117,1416.0,18.95
118,1650.0,4.44
119,286.0,1.96
120,1081.0,30.54
121,954.0,11.19
122,685.0,16.88
123,764.0,14.92
124,1121.0,15.98
125,203.0,1.44
126,1116.0,2.2
127,290.0,2.53
128,1111.0,9.59
129,1583.0,5.72
130,672.0,3.33
131,442.0,11.43
132,426.0,8.04
133,168.0,2.91
134,230.0,3.73
135,269.0,1.68
136,193.0,2.75
137,1443.0,16.19
138,262.0,4.05
139,581.0,4.67
140,1394.0,11.47
141,5185.0,14.74
142,436.0,9.23
143,21821.0,9.03
144,990.0,9.39
145,192.0,1.84
146,7425.0,9.11
147,880.0,17.57
148,44.0,0.71
149,7208.0,9.93
150,711.0,9.56
151,1363.0,12.2
152,1828.0,21.08
153,882.0,3.21
154,946.0,8.02
155,15525.0,10.49
156,4571.0,9.89
157,101.0,2.41
158,1224.0,12.47
159,202.0,17.1
160,4162.0,14.68
161,10264.0,6.72
162,1057.0,9.44
163,21380.0,2.71
164,482.0,2.48
165,26997.0,18.08
166,39304.0,6.4
167,1960.0,12.27
168,7671.0,7.51
169,1189.0,1.0
170,879.0,7.06
171,63433.0,12.55
172,9427.0,11.95
173,5122.0,10.61
174,649.0,3.69
175,773774.0,12.3
176,25286.0,30.02
177,23160.0,12.09
178,663.0,5.01
179,272.0,0.45
180,16876.0,10.57
181,151.0,2.36
182,1583.0,17.25
183,41697.0,17.91
184,9744.0,10.62
185,2502.0,2.73
186,273948.0,12.5
187,49286.0,15.43
188,555.0,2.99
189,120409.0,7.04
190,144706.0,14.18
191,9364.0,23.73
192,20389.0,1.42
193,369149.0,16.57
194,77392.0,12.97
195,77000.0,17.66
196,13628.0,6.51
197,150492.0,31.95
198,35788.0,13.41
199,286401.0,25.25
200,20335.0,9.21
201,12036.0,8.17
202,455.0,19.56
203,1261.0,3.93
204,67901.0,22.81
205,26547.0,7.4
206,22792.0,5.97
207,6264.0,10.2
208,1606.0,3.64
209,240.0,2.64
210,44680.0,18.71
211,5463.0,13.92
212,97544.0,16.83
213,31127.0,20.94
214,10780.0,22.88
215,100554.0,9.17
216,9079.0,23.88
217,27919.0,7.83
218,1176.0,9.89
219,41686.0,8.64
220,1499.0,11.04
221,303.0,10.54
222,269.0,7.72
223,22322.0,8.49
224,5200.0,8.28
225,1908.0,10.02
226,113.0,8.19
227,855.0,9.9
228,566.0,9.59
229,299.0,8.67
230,253.0,9.95
231,545.0,10.53
232,2220.0,8.46
233,48842.0,8.7
234,228.0,12.38
235,24041.0,7.61
236,3179.0,7.93
237,1791.0,6.82
238,55536.0,9.45
239,3355.0,9.4
240,3728.0,8.58
241,721.0,12.31
242,1507.0,10.82
243,1324.0,8.75
244,106.0,14.13
245,704.0,10.93
246,73.0,6.1
247,37912.0,7.9
248,85.0,7.62
249,538.0,10.17
250,559.0,8.75
251,4504.0,8.65
252,25247.0,8.28
253,1219.0,9.6
254,326.0,8.83
255,1325.0,9.44
256,11521.0,8.89
257,103.0,10.26
258,893.0,8.69
259,2533.0,11.19
260,3117.0,8.94
261,1471.0,7.22
262,1240.0,8.91
263,413.0,7.95
264,1899.0,11.13
265,253.0,8.01
266,1147.0,7.35
267,719.0,9.01
268,11040.0,8.6
269,510.0,9.84
270,629.0,6.58
271,2118.0,9.31
272,533.0,10.14
273,86.0,10.39
274,648.0,9.47
275,224.0,11.64
276,2927.0,11.4
277,2870.0,12.53
278,326.0,8.9
279,17637.0,6.84
280,494.0,7.78
281,1730.0,11.91
282,6218.0,7.5
283,1663.0,11.66
284,4537.0,9.51
285,1756.0,10.8
286,840.0,13.59
287,4476.0,9.59
288,3461.0,7.4
289,1767.0,12.09
290,1298.0,7.98
291,1217.0,11.03
292,3023.0,14.4
293,6707.0,10.28
294,1088.0,14.55
295,1770.0,8.22
296,4607.0,14.48
297,378.0,13.06
298,10532.0,12.67
299,5418.0,30.12
300,4023.0,13.86
301,836.0,9.93
302,1927.0,8.61
303,1762.0,12.28
304,2356.0,15.28
305,2132.0,13.08
306,3359.0,19.33
307,8247.0,20.79
308,1045.0,13.72
309,1365.0,15.93
310,600.0,14.22
311,5559.0,16.54
312,1502.0,15.77
313,3264.0,11.07
314,3101.0,14.04
315,3405.0,12.31
316,1309.0,13.99
317,7973.0,12.18
318,229.0,14.14
319,7006.0,17.84
320,724.0,14.2
321,6735.0,16.69
322,3519.0,15.25
323,2291.0,17.1
324,2577.0,17.81
325,3116.0,14.65
326,4671.0,13.6
327,2522.0,13.0
328,1342.0,11.99
329,6786.0,14.18
330,3035.0,14.85
331,4134.0,39.34
332,1622.0,7.01
333,451.0,14.61
334,448.0,14.54
335,147.0,9.74
336,89.0,11.14
337,146.0,12.46
338,171.0,13.61
339,422.0,16.49
340,686.0,14.47
341,327.0,13.77
342,913.0,13.59
343,271.0,14.41
344,714.0,12.95
345,2350.0,11.9
346,204.0,16.39
347,295.0,11.88
348,1474.0,15.26
349,190.0,10.18
