state_id,total_mail_ballot,total_rejection,late,missing_voter_signature,missing_witness_signature,non_matching_voter_signature,unofficial_envelope,ballot_missing_from_envelope,no_secrecy_envelope,multiple_ballots_in_one_envelope,envelope_not_sealed,no_postmark,no_resident_address_on_envelope,voter_deceased,voter_already_voted,missing_documentation,voter_not_eligible,no_ballot_application
01,126018,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,48744,872,147,73,400,0,0,11,0,0,0,0,0,0,53,164,1,11
04,2816885,25071,2751,1924,0,10075,18,101,0,4,0,0,0,26,267,236,0,0
05,24552,2274,421,87,25,120,0,9,0,8,0,0,13,25,30,1204,69,0
06,13062318,123248,30572,13172,0,69479,5,812,0,272,0,0,0,431,1986,1555,1700,6
08,2957550,42751,2815,2269,0,35255,226,335,0,128,0,0,0,15,386,1226,0,0
09,127354,2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,33659,1816,386,20,0,0,0,0,5,0,0,0,0,58,794,0,13,0
11,168111,1169,56,325,0,545,0,0,0,0,0,0,0,0,203,40,0,0
12,2947371,21126,8041,2622,0,5879,56,137,0,69,4,2,1,72,168,51,382,40
13,268751,4761,3240,222,0,110,0,0,0,0,0,0,0,0,0,1179,10,0
15,483078,4161,0,899,1,3240,0,0,0,0,0,0,0,0,0,0,0,0
16,179777,2657,320,121,0,369,0,0,0,0,0,0,0,0,43,73,0,0
17,1022256,16559,1929,1998,0,5811,0,323,0,5,325,0,0,232,4617,0,64,0
18,1603815,3432,1310,324,0,588,5,95,0,0,9,0,1,112,64,0,0,0
19,220041,1169,291,448,0,2,0,30,0,1,100,0,2,87,112,11,78,0
20,149350,561,224,94,87,22,9,42,21,37,56,114,0,0,0,0,41,40
21,116324,4076,380,1781,13,346,4,80,442,3,0,0,0,25,0,310,0,0
22,119706,2921,1536,80,453,16,0,0,0,0,0,0,0,0,0,0,0,0
23,215242,511,85,143,56,30,0,0,0,0,0,0,0,0,197,0,0,0
24,744244,2796,1575,881,0,0,0,0,0,0,0,0,0,0,2,26,1,1
25,1173112,13198,2659,3013,0,0,0,113,1976,0,0,0,0,157,1759,47,86,0
26,2017704,63561,4659,1618,0,2900,0,45,0,0,0,0,0,4696,40419,21,9203,0
27,446576,9122,1750,398,1544,2190,0,0,0,0,0,0,0,60,22,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,178526,5238,912,1101,2773,0,0,0,0,0,0,0,0,158,0,115,0,0
30,430159,2235,363,610,0,1010,0,0,0,0,0,0,0,0,0,45,4,0
31,307135,1466,419,450,2,199,0,14,0,6,0,0,80,59,1,187,7,0
32,656140,13305,1687,712,0,9110,3,124,0,13,1,0,0,15,969,243,0,0
33,92945,1552,435,560,0,7,0,8,0,0,0,0,0,62,218,114,2,5
34,828200,11191,712,929,17,1744,0,660,0,0,2639,0,0,0,0,778,88,0
35,111527,967,276,401,0,0,0,0,0,0,0,0,0,2,29,243,16,0
36,836987,25750,3253,1772,5025,5135,299,1122,0,13,2670,524,5,517,509,7,0,26
37,298269,8916,3347,0,5442,14,0,0,0,0,0,0,0,0,43,14,0,0
38,89429,501,253,32,0,186,0,0,0,0,0,0,30,0,0,0,0,0
39,1058400,8335,2697,535,1,463,269,100,219,53,0,475,46,60,15,1062,100,0
40,98548,4477,340,273,262,0,188,381,0,0,0,0,0,0,0,1465,0,0
41,2253114,38465,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1933102,19270,5646,3515,0,0,0,0,2841,0,0,0,0,0,0,1605,0,0
44,51995,306,188,23,95,0,0,0,0,0,0,0,0,0,0,0,0,0
45,98782,2803,579,1036,1162,0,0,0,0,0,0,0,0,19,0,0,0,0
46,151762,738,461,107,0,118,0,0,0,0,0,0,0,41,3,0,0,0
47,86904,1844,1584,92,7,112,4,6,16,0,0,0,0,0,6,14,2,0
48,384221,14049,3490,581,105,987,32,67,34,21,3,82,0,59,1506,5213,64,2
49,1239070,23819,3487,1168,0,18393,0,48,7,30,1,0,0,19,205,438,28,0
50,240375,467,0,146,0,0,0,0,306,0,0,0,0,0,0,11,0,0
51,474332,4807,460,175,1,0,0,0,14,0,0,0,453,0,0,1908,0,0
53,3890945,36187,4579,6730,146,23517,0,574,0,0,0,0,0,24,0,480,0,0
54,22377,247,80,11,0,6,0,0,0,0,0,11,4,5,31,39,25,0
55,572434,2823,1399,0,0,0,0,0,0,1,68,0,0,228,2,0,34,0
56,38217,204,131,39,0,0,2,1,0,0,0,0,0,0,0,0,0,0
